"filename", "language", "C++", "JSON", "YAML", "Markdown", "Swift", "HTML", "XML", "Dart", "Properties", "Groovy", "comment", "blank", "total"
"e:\Projects\cinemax\assets\images\icon_save_star.svg", "XML", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"e:\Projects\cinemax\assets\images\icon_search.svg", "XML", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"e:\Projects\cinemax\assets\images\icon_setters.svg", "XML", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"e:\Projects\cinemax\assets\images\icon_settings.svg", "XML", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"e:\Projects\cinemax\assets\images\icon_share.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"e:\Projects\cinemax\assets\images\icon_shield.svg", "XML", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"e:\Projects\cinemax\assets\images\icon_star.svg", "XML", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 1, 11
"e:\Projects\cinemax\assets\images\icon_theme.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\Projects\cinemax\assets\images\icon_user.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\Projects\cinemax\assets\images\instagram.svg", "XML", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 1, 21
"e:\Projects\cinemax\assets\images\news_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\Projects\cinemax\assets\images\question_image.svg", "XML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 26
"e:\Projects\cinemax\assets\images\search_image.svg", "XML", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 1, 21
"e:\Projects\cinemax\assets\images\splash_logo.svg", "XML", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 1, 13
"e:\Projects\cinemax\assets\images\telegram.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\Projects\cinemax\assets\images\tick_image.svg", "XML", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"e:\Projects\cinemax\devtools_options.yaml", "YAML", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"e:\Projects\cinemax\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 4, 13
"e:\Projects\cinemax\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"e:\Projects\cinemax\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"e:\Projects\cinemax\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"e:\Projects\cinemax\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"e:\Projects\cinemax\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 1, 1, 38
"e:\Projects\cinemax\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 1, 27
"e:\Projects\cinemax\ios\Runner\Runner-Bridging-Header.h", "C++", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"e:\Projects\cinemax\ios\firebase_app_id_file.json", "JSON", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"e:\Projects\cinemax\l10n.yaml", "YAML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"e:\Projects\cinemax\lib\DI\service_locator.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 88, 0, 0, 0, 31, 119
"e:\Projects\cinemax\lib\bloc\authentication\authentication_bloc.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 3, 28
